Как создать папку?|os.makedirs('название_папки')
Как открыть файл для чтения?|open('путь_к_файлу', 'r')
Как удалить папку?|os.rmdir('путь_к_папке')
Как получить текущую директорию?|os.getcwd()
Как изменить рабочую директорию?|os.chdir('новая_директория')
Как скопировать папку?|shutil.copytree('источник', 'назначение')
Как переместить папку?|shutil.move('источник', 'назначение')
Как проверить, является ли путь папкой?|os.path.isdir('путь')
Как проверить, является ли путь файлом?|os.path.isfile('путь')
Как получить абсолютный путь?|os.path.abspath('путь')
Как получить родительскую директорию?|os.path.dirname('путь')
Как объединить пути?|os.path.join('часть1', 'часть2')
Как разделить путь на имя файла и расширение?|os.path.splitext('путь_к_файлу')
Как получить время последнего изменения файла?|os.path.getmtime('путь_к_файлу')
Как получить время создания файла?|os.path.getctime('путь_к_файлу')
Как проверить доступность файла для чтения?|os.access('путь_к_файлу', os.R_OK)
Как проверить доступность файла для записи?|os.access('путь_к_файлу', os.W_OK)
Как проверить доступность файла для выполнения?|os.access('путь_к_файлу', os.X_OK)
Как получить список всех файлов в дереве директорий?|os.walk('путь_к_директории')
Как скопировать файл с сохранением метаданных?|shutil.copy2('источник', 'назначение')
Как переименовать файл?|os.rename('старое_имя', 'новое_имя')
Как получить размер папки?|sum(os.path.getsize(f) for f in os.listdir('путь_к_директории') if os.path.isfile(f))
Как очистить содержимое файла?|open('путь_к_файлу', 'w').close()
Как записать текст в файл?|with open('путь_к_файлу', 'w') as f: f.write('текст')
Как прочитать весь файл?|with open('путь_к_файлу', 'r') as f: data = f.read()
Как прочитать файл построчно?|with open('путь_к_файлу', 'r') as f: lines = f.readlines()
Как добавить текст в конец файла?|with open('путь_к_файлу', 'a') as f: f.write('текст')
Как закрыть файл?|f.close()
Как создать временный файл?|import tempfile; tempfile.NamedTemporaryFile()
Как создать временную директорию?|import tempfile; tempfile.TemporaryDirectory()
Как получить права доступа к файлу?|os.stat('путь_к_файлу').st_mode
Как установить права доступа к файлу?|os.chmod('путь_к_файлу', режим)
Как получить владельца файла?|import pwd; pwd.getpwuid(os.stat('путь_к_файлу').st_uid).pw_name
Как установить владельца файла?|os.chown('путь_к_файлу', uid, gid)
Как получить группу файла?|import grp; grp.getgrgid(os.stat('путь_к_файлу').st_gid).gr_name
Как установить группу файла?|os.chown('путь_к_файлу', -1, gid)
Как создать символическую ссылку?|os.symlink('цель', 'ссылка')
Как проверить, является ли путь символической ссылкой?|os.path.islink('путь')
Как получить реальный путь файла?|os.path.realpath('путь')
Как получить относительный путь?|os.path.relpath('путь', 'относительно')
Как создать жесткую ссылку?|os.link('цель', 'ссылка')
Как получить количество ссылок на файл?|os.stat('путь_к_файлу').st_nlink
Как получить время последнего доступа к файлу?|os.path.getatime('путь_к_файлу')
Как получить статистику диска?|os.statvfs('путь_к_директории')
Как получить свободное место на диске?|os.statvfs('путь_к_директории').f_bfree * os.statvfs('путь_к_директории').f_frsize
Как получить общее количество места на диске?|os.statvfs('путь_к_директории').f_blocks * os.statvfs('путь_к_директории').f_frsize
Как получить использованное место на диске?|(os.statvfs('путь_к_директории').f_blocks - os.statvfs('путь_к_директории').f_bfree) * os.statvfs('путь_к_директории').f_frsize
Как создать файл?|open('путь_к_файлу', 'x').close()
Как проверить существование папки?|os.path.exists('путь_к_папке') and os.path.isdir('путь_к_папке')
Как получить расширение файла?|os.path.splitext('путь_к_файлу')[1]
Как получить имя файла без расширения?|os.path.splitext(os.path.basename('путь_к_файлу'))[0]
Как получить базовое имя файла?|os.path.basename('путь_к_файлу')
Как получить путь к каталогу файла?|os.path.dirname('путь_к_файлу')
Как создать несколько уровней папок?|os.makedirs('путь/к/папкам', exist_ok=True)
Как удалить пустую папку?|os.rmdir('путь_к_папке')
Как удалить непустую папку?|shutil.rmtree('путь_к_папке')
Как скопировать содержимое одного файла в другой?|with open('источник', 'rb') as src, open('назначение', 'wb') as dst: dst.write(src.read())
Как получить кодировку файла?|import chardet; with open('путь_к_файлу', 'rb') as f: chardet.detect(f.read())['encoding']
